Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_linear,resnext101_32x8d,8,32,466.0846281835208
pytorch_linear,wide_resnet101_2,1,32,696.5132456803999
pytorch_linear,wide_resnet101_2,1,32,692.3847531410981
pytorch_linear,wide_resnet101_2,1,32,689.1572859040378
pytorch_linear,wide_resnet101_2,1,32,685.2880034372238
pytorch_linear,wide_resnet101_2,1,32,682.3704950898971
pytorch_linear,wide_resnet101_2,1,32,680.3528397819936
pytorch_linear,wide_resnet101_2,1,32,682.885996464377
pytorch_linear,wide_resnet101_2,1,32,680.6046090809673
pytorch_linear,wide_resnet101_2,1,32,681.361683597114
pytorch_linear,wide_resnet101_2,1,32,682.4587632294107
pytorch_linear,wide_resnet101_2,2,32,686.31953732232
pytorch_linear,wide_resnet101_2,2,32,686.6540849556237
pytorch_linear,wide_resnet101_2,2,32,685.4988341646305
pytorch_linear,wide_resnet101_2,2,32,685.8053231991423
pytorch_linear,wide_resnet101_2,2,32,685.4665323675995
pytorch_linear,wide_resnet101_2,2,32,685.1761478054549
pytorch_linear,wide_resnet101_2,2,32,686.4981341996263
pytorch_linear,wide_resnet101_2,2,32,684.346127798467
pytorch_linear,wide_resnet101_2,2,32,686.3404966428265
pytorch_linear,wide_resnet101_2,2,32,684.6596835095199
pytorch_linear,wide_resnet101_2,4,32,687.4041570762892
pytorch_linear,wide_resnet101_2,4,32,687.4227325708623
pytorch_linear,wide_resnet101_2,4,32,687.4984841126396
pytorch_linear,wide_resnet101_2,4,32,687.7256372307506
pytorch_linear,wide_resnet101_2,4,32,687.044843221138
pytorch_linear,wide_resnet101_2,4,32,686.6874940374277
pytorch_linear,wide_resnet101_2,4,32,687.5131865383412
pytorch_linear,wide_resnet101_2,4,32,687.2389234680674
pytorch_linear,wide_resnet101_2,4,32,687.2991611963031
pytorch_linear,wide_resnet101_2,4,32,686.6525354026658
pytorch_linear,wide_resnet101_2,8,32,688.8755944050478
pytorch_linear,wide_resnet101_2,8,32,688.4058934378878
pytorch_linear,wide_resnet101_2,8,32,688.5703066805191
pytorch_linear,wide_resnet101_2,8,32,688.6005473215777
pytorch_linear,wide_resnet101_2,8,32,688.6812281035861
pytorch_linear,wide_resnet101_2,8,32,688.2579977203541
pytorch_linear,wide_resnet101_2,8,32,688.3873654250474
pytorch_linear,wide_resnet101_2,8,32,688.190499882175
pytorch_linear,wide_resnet101_2,8,32,688.6009480885897
pytorch_linear,wide_resnet101_2,8,32,688.5436171006678
